simd2020_decile,mean_age
1,10.382882882882884
2,10.44489247311828
3,10.8583984375
4,10.85539403213466
5,11.39527027027027
6,11.304347826086957
7,11.308318789994182
8,11.516144814090019
9,11.475338753387534
10,11.670723894939142
