simd2020_decile,total_referrals,total_rejected,people_rejected,proportion_rejected
1,400,101,83,0.2525
2,1279,292,255,0.22830336200156373
3,1738,366,319,0.21058688147295743
4,2197,452,398,0.20573509330905781
5,1953,399,342,0.20430107526881722
6,2357,523,450,0.22189223589308443
7,2763,566,490,0.20484980094100616
8,3145,653,563,0.20763116057233705
9,2756,540,481,0.19593613933236576
10,2227,414,381,0.18590031432420295
